fecha,pruebas,casos,casos_totales,fallecidos,fallecidos_totales,recuperados,recuperados_totales,casos_activos,letalidad,pct_recuperados,pct_positividad
2020-03-09,105,1,1,0,0,0,0,1,0.0000,0.000,0.010
2020-03-10,41,7,8,1,1,0,0,7,0.1250,0.000,0.171
2020-03-11,48,6,14,0,1,0,0,13,0.0714,0.000,0.125
2020-03-12,207,13,27,0,1,0,0,26,0.0370,0.000,0.063
2020-03-13,248,9,36,0,1,0,0,35,0.0278,0.000,0.036
2020-03-14,208,7,43,0,1,0,0,42,0.0233,0.000,0.034
2020-03-15,119,12,55,0,1,0,0,54,0.0182,0.000,0.101
2020-03-16,97,14,69,0,1,0,0,68,0.0145,0.000,0.144
2020-03-17,172,17,86,0,1,0,0,85,0.0116,0.000,0.099
2020-03-18,210,23,109,0,1,0,0,108,0.0092,0.000,0.110
2020-03-19,313,28,137,0,1,0,0,136,0.0073,0.000,0.089
2020-03-20,401,63,200,0,1,0,0,199,0.0050,0.000,0.157
2020-03-21,303,45,245,2,3,0,0,242,0.0122,0.000,0.149
2020-03-22,627,68,313,0,3,0,0,310,0.0096,0.000,0.108
2020-03-23,134,32,345,3,6,0,0,339,0.0174,0.000,0.239
2020-03-24,457,98,443,2,8,1,1,434,0.0181,0.002,0.214
2020-03-25,558,115,558,0,8,0,1,549,0.0143,0.002,0.206
2020-03-26,608,116,674,1,9,1,2,663,0.0134,0.003,0.191
2020-03-27,366,112,786,5,14,0,2,770,0.0178,0.003,0.306
2020-03-28,540,115,901,3,17,0,2,882,0.0189,0.002,0.213
2020-03-29,398,88,989,7,24,2,4,961,0.0243,0.004,0.221
2020-03-30,422,86,1075,3,27,0,4,1044,0.0251,0.004,0.204
2020-03-31,362,106,1181,3,30,5,9,1142,0.0254,0.008,0.293
2020-04-01,389,136,1317,2,32,0,9,1276,0.0243,0.007,0.350
2020-04-02,608,158,1475,5,37,0,9,1429,0.0251,0.006,0.260
2020-04-03,753,198,1673,4,41,1,10,1622,0.0245,0.006,0.263
2020-04-04,562,128,1801,5,46,3,13,1742,0.0255,0.007,0.228
2020-04-05,443,187,1988,8,54,0,13,1921,0.0272,0.007,0.422
2020-04-06,515,112,2100,1,55,0,13,2032,0.0262,0.006,0.217
2020-04-07,467,149,2249,4,59,1,14,2176,0.0262,0.006,0.319
2020-04-08,1095,279,2528,4,63,2,16,2449,0.0249,0.006,0.255
2020-04-09,807,224,2752,3,66,0,16,2670,0.0240,0.006,0.278
2020-04-10,1065,222,2974,8,74,0,16,2884,0.0249,0.005,0.208
2020-04-11,940,260,3234,5,79,1,17,3138,0.0244,0.005,0.277
2020-04-12,559,166,3400,8,87,6,23,3290,0.0256,0.007,0.297
2020-04-13,420,72,3472,7,94,6,29,3349,0.0271,0.008,0.171
2020-04-14,486,102,3574,1,95,32,61,3418,0.0266,0.017,0.210
2020-04-15,801,177,3751,8,103,11,72,3576,0.0275,0.019,0.221
2020-04-16,996,265,4016,6,109,3,75,3832,0.0271,0.019,0.266
2020-04-17,709,194,4210,7,116,23,98,3996,0.0276,0.023,0.274
2020-04-18,532,63,4273,4,120,24,122,4031,0.0281,0.029,0.118
2020-04-19,1046,194,4467,6,126,18,140,4201,0.0282,0.031,0.185
