date,Casos por dia,Pruebas realizadas,casos_acumulados,total_casos_laprensa,discrepancia
2020-03-09,1,105,1,1,0
2020-03-10,7,41,8,8,0
2020-03-11,6,48,14,14,0
2020-03-12,13,207,27,27,0
2020-03-13,9,248,36,36,0
2020-03-14,7,208,43,43,0
2020-03-15,12,119,55,55,0
2020-03-16,14,97,69,69,0
2020-03-17,17,172,86,86,0
2020-03-18,23,210,109,109,0
2020-03-19,28,313,137,137,0
2020-03-20,63,401,200,200,0
2020-03-21,45,303,245,245,0
2020-03-22,68,627,313,313,0
2020-03-23,32,134,345,345,0
2020-03-24,98,457,443,443,0
2020-03-25,115,558,558,558,0
2020-03-26,116,608,674,674,0
2020-03-27,112,366,786,786,0
2020-03-28,115,540,901,901,0
2020-03-29,88,398,989,989,0
2020-03-30,86,422,1075,1075,0
2020-03-31,106,362,1181,1181,0
2020-04-01,136,389,1317,1317,0
2020-04-02,158,608,1475,1475,0
2020-04-03,198,753,1673,1673,0
2020-04-04,128,562,1801,1801,0
2020-04-05,187,443,1988,1988,0
2020-04-06,112,515,2100,2100,0
2020-04-07,149,467,2249,2249,0
2020-04-08,279,1095,2528,2528,0
2020-04-09,224,807,2752,2752,0
2020-04-10,222,1065,2974,2974,0
2020-04-11,260,940,3234,3234,0
2020-04-12,166,559,3400,3400,0
2020-04-13,72,420,3472,3472,0
2020-04-14,102,486,3574,3574,0
2020-04-15,177,801,3751,3751,0
2020-04-16,265,996,4016,4016,0
2020-04-17,194,709,4210,4210,0
2020-04-18,63,532,4273,4273,0
2020-04-19,194,1046,4467,4467,0
2020-04-20,191,859,4658,4658,0
2020-04-21,163,906,4821,4821,0
2020-04-22,171,800,4992,4992,0
2020-04-23,174,832,5166,5166,0
2020-04-24,172,770,5338,5338,0
2020-04-25,200,1096,5538,5538,0
2020-04-26,241,1242,5779,5779,0
2020-04-27,242,1192,6021,6021,0
2020-04-28,179,961,6200,6200,0
2020-04-29,178,1042,6378,6378,0
2020-04-30,154,912,6532,6532,0
2020-05-01,188,1146,6720,6720,0
2020-05-02,370,1459,7090,7090,0
2020-05-03,107,1105,7197,7197,0
2020-05-04,190,1097,7387,7387,0
2020-05-05,136,927,7523,7523,0
2020-05-06,208,1531,7731,7731,0
2020-05-07,137,1079,7868,7868,0
2020-05-08,202,1263,8070,8070,0
2020-05-09,212,1293,8282,8282,0
2020-05-10,166,1008,8448,8448,0
2020-05-11,168,1006,8616,8616,0
2020-05-12,167,988,8783,8783,0
2020-05-13,161,1222,8944,8944,0
2020-05-14,174,1025,9118,9118,0
2020-05-15,150,870,9268,9268,0
2020-05-16,181,1336,9449,9449,0
2020-05-17,157,1244,9606,9606,0
2020-05-18,120,757,9726,9726,0
2020-05-19,141,710,9867,9867,0
2020-05-20,110,826,9977,9977,0
2020-05-21,139,1287,10116,10116,0
2020-05-22,151,1090,10267,10267,0
2020-05-23,310,1737,10577,10577,0
2020-05-24,349,1485,10926,10926,0
